Key,Id,Chinese (Simplified)(zh-CN),English(en),French (France)(fr-FR),German(de),Portuguese (Brazil)(pt-BR),Russian(ru),Spanish(es)
"Red 1.5.2",104186449649664,"这很简单。<pause:0.5> 这个东西会生成物品，<pause:0.5> 我会使用它们。","It's easy.<pause:0.5> This thing spawns items,<pause:0.5> I use them.","C'est facile.<pause:0.5> Ce truc fait apparaître des objets,<pause:0.5> Je les utilise.","Es ist einfach.<pause:0.5> Dieses Ding erzeugt Gegenstände,<pause:0.5> ich benutze sie.","É fácil.<pause:0.5> Esta coisa gera itens,<pause:0.5> Eu os uso.","Это легко.<pause:0.5> Эта штука подкидывает продукты,<pause:0.5> я использую их.","Es fácil.<pause:0.5> Esta cosa genera elementos,<pause:0.5> los uso."
"Red 1.5.3",104222092845056,"最重要的是防止堵塞。","The main thing is to keep it from clogging up.","L'essentiel est d'éviter qu'il ne se bouche.","Hauptsache ist, dass es nicht verstopft.","O principal é evitar que entupa.","Главное - не давать ей засориться.","Lo principal es evitar que se obstruya."
"Red 1.6.1",104300811542528,"*叹气*<pause:1> 每天都在同一时间。","*sigh*<pause:1> Everyday in the same time.","*soupir*<pause:1> Tous les jours à la même heure.","*seufz*<pause:1> Jeden Tag zur gleichen Zeit.","*suspiro*<pause:1> Todos os dias no mesmo horário.","*вздох*<pause:1> Каждый день в одно и тоже время.","*suspiro*<pause:1> Todos los días a la misma hora."
"Bear 1.6.2",104452712456192,"哦，<pause: 0.5>，又是你，红<pause:0.5>NOT<pause:0.5>，一个厨师。","Oh,<pause: 0.5> it's you again, Red <pause:0.5>NOT<pause:0.5> a Cook.","Oh,<pause: 0.5> c'est encore toi, Rouge <pause:0.5>PAS<pause:0.5> un Cuisinier.","Oh, du bist es wieder, Roter Koch.","Ah,<pause: 0.5> é você de novo, Red <pause:0.5>NOT<pause:0.5> um cozinheiro.","O,<pause: 0.5> Это снова ты, Рыжий <pause:0.5>НЕ<pause:0.5> повар.","Oh, <pause: 0.5> eres tú otra vez, Red <pause:0.5>NO<pause:0.5> un cocinero."
"Red 1.6.3",104546270601216,"Yarrr，<pause: 0.5> 欢迎登船，年轻的水手。","Yarrr,<pause: 0.5> welcome aboard, young sailor.","Yarrr,<pause: 0.5> bienvenue à bord, jeune marin.","Yarrr,<pause: 0.5> willkommen an Bord, junger Seemann.","Yarrr,<pause: 0.5> bem-vindo a bordo, jovem marinheiro.","Яррр,<pause: 0.5> добро пожаловать на борт, юнга.","Yarrr,<pause: 0.5> bienvenido a bordo, joven marinero."
"Bear 1.6.4",104596988125184,"我不需要你的问候，Red <pause:0.5>NOT<pause:0.5> 厨师。","I don't need your greetings, Red <pause:0.5>NOT<pause:0.5> a Cook.","Je n'ai pas besoin de vos salutations, Rouge <pause:0.5>NOT<pause:0.5> un cuisinier.","Ich brauche deine Grüße nicht, Red <pause:0.5>NOT<pause:0.5> ein Koch.","Não preciso das suas saudações, Red <pause:0.5>NOT<pause:0.5> um cozinheiro.","Мне не нужны приветствия, Рыжий <pause:0.5>НЕ<pause:0.5> повар.","No necesito tus saludos, Red <pause:0.5>NOT<pause:0.5> un cocinero."
"Bear 1.6.5",104702047051776,"我需要你加快速度，而不是提高音量。","I need you to work faster, not louder.","J'ai besoin que vous travailliez plus vite, pas plus fort.","Ich brauche schnellere, nicht lautere Arbeit.","Preciso que você trabalhe mais rápido, não mais alto.","Мне нужно, чтобы работал быстрее, а не громче.","Necesito que trabajes más rápido, no más fuerte."
"Red 1.6.6",104734192197632,"你知道这是一家儿童餐厅吗？","Do you know that this is a restaurant for kids?","Sais-tu que c'est un restaurant pour enfants ?","Wussten Sie, dass dies ein Restaurant für Kinder ist?","Você sabia que este é um restaurante para crianças?","Ты же знаешь, что это детское заведение?","¿Sabías que este es un restaurante para niños?"
"Bear 1.6.7",104799568814080,"噗。<pause:0.5> 这里到处都是海盗。","Pfft.<pause:0.5> This place is full of pirates.","Pff.<pause:0.5> Cet endroit est plein de pirates.","Pfft.<pause:0.5> Dieser Ort ist voller Piraten.","Pfft.<pause:0.5> Este lugar está cheio de piratas.","Пффт.<pause:0.5> Это место полно пиратов.","Pfft.<pause:0.5> Este lugar está lleno de piratas."
"Bear 1.6.8",104851519463424,"海盗对他们来说太可怕了，所以，是的，显然这是给成年人看的。","Pirates are too scary for them,<pause:0.5> so <pause:0.5>YEAH,<pause:0.5> it's clearly for adults.","Les pirates sont trop effrayants pour eux,<pause:0.5> donc <pause:0.5>OUI,<pause:0.5> c'est clairement pour les adultes.","Piraten sind ihnen zu gruselig, also ist es eindeutig etwas für Erwachsene.","Piratas são muito assustadores para eles, então, sim, é claramente para adultos.","Пираты слишком страшны для них,<pause:0.5> так что, <pause:0.5>ДА,<pause:0.5> очевидно, что оно для взрослых.","Los piratas son demasiado aterradores para ellos,<pause:0.5> así que<pause:0.5>SÍ,<pause:0.5> claramente es para adultos."
"Red 1.6.9",104919387496448,"至少你年纪还不算大。","At least you are not too old for this.","Au moins, vous n'êtes pas trop vieux pour ça.","Zumindest bist du dafür noch nicht zu alt.","Pelo menos você não está velho demais para isso.","Ну ты хотя бы не слишком стар для всего этого.","Al menos no eres demasiado mayor para esto."
"Bear 1.6.10",105019983683584,"我现在的年龄正适合来这里，所以，<pause:0.5>YEAH。","I'm at the perfect age for this place, so, <pause:0.5>YEAH.","J'ai l'âge idéal pour cet endroit, alors, <pause:0.5>OUI.","Ich bin im perfekten Alter für diesen Ort, also: <pause:0.5>YEAH.","Estou na idade perfeita para este lugar, então, <pause:0.5>SIM.","Я в идеальном возрасте для этого места, так что, <pause:0.5>ДА.","Estoy en la edad perfecta para este lugar, así que, <pause:0.5>SÍ."
"Bear 1.6.11",105266793308160,"我需要一些卡路里来保持完美身材。所以，快点，红<pause:0.5>NOT<pause:0.5>厨师。","And I need some calories to be in the perfect shape.<pause:0.5> So, hurry up, Red <pause:0.5>NOT<pause:0.5> a Cook.","Et j'ai besoin de calories pour être en pleine forme.<pause:0.5> Alors, dépêche-toi, Rouge <pause:0.5>PAS<pause:0.5> un cuisinier.","Und ich brauche ein paar Kalorien, um in Topform zu sein. Also, beeil dich, Red Cook.","E eu preciso de algumas calorias para estar em ótima forma. Então, depressa, Cozinheiro Vermelho.","И мне нужны калории, чтобы быть в идеальной форме.<pause:0.5> Так что поторапливайся, Рыжий <pause:0.5>НЕ<pause:0.5> повар.","Y necesito algunas calorías para estar en perfecta forma.<pause:0.5> Así que, date prisa, Red <pause:0.5>NOT<pause:0.5> un cocinero."
"Bear 1.7.1",105471504703488,"噗。<pause: 0.5> 做了并不意味着你做得很好，<pause: 0.5> 红色 <pause:0.5>NOT<pause:0.5> 一个厨师。","Pfft.<pause: 0.5> If you've done it doesn't meen you've done it well,<pause: 0.5> Red <pause:0.5>NOT<pause:0.5> a cook.","Pfft.<pause: 0.5> Ce n'est pas parce que vous l'avez fait que vous l'avez bien fait,<pause: 0.5> Rouge <pause:0.5>PAS<pause:0.5> un cuisinier.","Pfft.<pause: 0.5> Nur weil du es getan hast, heißt das nicht, dass du es gut gemacht hast,<pause: 0.5> Rot <pause:0.5>NICHT<pause:0.5> ein Koch.","Pfft.<pause: 0.5> Se você fez isso não significa que você fez bem,<pause: 0.5> Vermelho <pause:0.5>NÃO<pause:0.5> um cozinheiro.","Пффт.<pause: 0.5> то что ты это сделал не значит, что ты сделал это хорошо,<pause: 0.5> Рыжий <pause:0.5>НЕ<pause:0.5> повар.","Pfft.<pause: 0.5> Si lo has hecho no significa que lo hayas hecho bien,<pause: 0.5> Rojo <pause:0.5>NO<pause:0.5> un cocinero."
"Red 1.7.2",105543625760768,"Yarrr，<pause: 0.5>，希望很快能再次见到你，年轻的水手。","Yarrr,<pause: 0.5> we hope to see you again soon, young sailor.","Yarrr,<pause: 0.5> nous espérons vous revoir bientôt, jeune marin.","Yarrr,<pause: 0.5> wir hoffen, dich bald wiederzusehen, junger Seemann.","Yarrr,<pause: 0.5> esperamos vê-lo novamente em breve, jovem marinheiro.","Яррр,<pause: 0.5> возвращайся еще, юнга.","Yarrr,<pause: 0.5> esperamos verte pronto de nuevo, joven marinero."
"Bear 1.7.3",105608289345536,"哦，<pause:0.5>是的，<pause:0.5>不要<pause: 0.5>犹豫。<pause:1>你很快就会见到我。","Oh, <pause:0.5>YEAH, <pause:0.5>do<pause: 0.5> NOT<pause: 0.5> hesitate.<pause:1> You will see me soon.","Oh, <pause:0.5>OUI, <pause:0.5>ne<pause: 0.5>PAS<pause: 0.5>hésiter.<pause:1> Tu me verras bientôt.","Oh, ja, zögern Sie nicht. Sie werden mich bald sehen.","Ah, <pause:0.5> SIM, <pause:0.5> NÃO<pause: 0.5> hesite.<pause:1> Você me verá em breve.","Ох, <pause:0.5>ДА, <pause:0.5>не сомневайся.<pause:1> Я вернусь.","Oh, <pause:0.5>SÍ, <pause:0.5>no<pause: 0.5> lo dudes.<pause: 0.5> Me verás pronto."
"Bear 1.7.4",105693555351552,"下次我不会再这么轻易放过你了。","And I won't be so easy on you next time.","Et je ne serai pas aussi indulgent avec toi la prochaine fois.","Und nächstes Mal werde ich es dir nicht so leicht machen.","E da próxima vez não serei tão condescendente com você.","И я не буду так мягок с тобой в следующий раз.","Y la próxima vez no seré tan amable contigo."
"Bear 1.7.5",105789357449216,"再见，Red <pause:0.5>NOT<pause:0.5> 是个厨师。","See you later, Red <pause:0.5>NOT<pause:0.5> a cook.","À plus tard, Red <pause:0.5>NOT<pause:0.5> un cuisinier.","Wir sehen uns später, Red <pause:0.5>NOT<pause:0.5> ein Koch.","Até logo, Red <pause:0.5>NOT<pause:0.5> um cozinheiro.","Еще увидимся, Рыжий <pause:0.5>НЕ<pause:0.5> повар.","Hasta luego, Red <pause:0.5>NOT<pause:0.5> un cocinero."
"Red 1.7.6",107592824283136,"<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> 最后。","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Finally.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Enfin.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Schließlich.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Finalmente.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Наконец-то.","__MARCADOR_0__.__MARCADOR_1__.__MARCADOR_2__.__MARCADOR_3____MARCADOR_4__ Finalmente."
"Red 1.7.7",107662542004224,"哇，<pause:0.5> 已经是休息时间了。","Whoa,<pause:0.5> break time already.","Waouh,<pause:0.5> c'est déjà l'heure de la pause.","Wow, schon wieder Pause!","Uau, já é hora do intervalo?","Воу,<pause:0.5> уже перерыв.","Vaya, ya es hora del descanso."
"Wave Is Failed Line",131328193486848,"该死……<pause:1> 好吧，我们再试一次。","Damn...<pause:1> Ok, let's try again.","Mince alors...<pause:1> Bon, on va réessayer.","Verdammt...<pause:1> Okay, versuchen wir es noch einmal.","Droga...<pause:1> Ok, vamos tentar de novo.","Блин...<pause:1> Ладно, попробуем еще разок.","Maldita sea...<pause:1> Ok, intentémoslo de nuevo."
"l1e2 1 ",39858674043346944,"终于，片刻安宁。","Finally, a moment of peace.","Enfin, un moment de paix.","Endlich ein Moment der Ruhe.","Finalmente, um momento de paz.","Наконец-то минута покоя.","Por fin, un momento de paz."
"l1e2 2",39858674060124160,"呀！<pause:0.75> 好吧，新兵，你以为你的第一天会一帆风顺吗？","Yarr! <pause:0.75> Well then, swabbie, did you think your first day would be smooth sailing?","Yarr ! <pause:0.75> Alors, matelot, tu pensais vraiment que ta première journée se déroulerait sans accroc ?","Ahoi! <pause:0.75> Na, Matrose, hast du etwa gedacht, dein erster Tag würde reibungslos verlaufen?","Arrr! <pause:0.75> Então, marinheiro, você achou que seu primeiro dia seria tranquilo?","Йарр! <pause:0.75> Ну что, салага, думал, что первый день будет простым?","¡Sí! <pause:0.75> Bueno entonces, marinero, ¿creías que tu primer día sería pan comido?"
"l1e2 3",39858674060124161,"我在这里工作一年多了。","I've been working here for over a year.","Je travaille ici depuis plus d'un an.","Ich arbeite hier seit über einem Jahr.","Trabalho aqui há mais de um ano.","Я тут работаю больше года.","Llevo trabajando aquí más de un año."
"l1e2 4",39858674060124162,"呀！<pause:0.75> 我完全听不懂！<pause:0.75> 你听起来像个旱鸭子！","Yarr! <pause:0.75> I couldn't make head nor tail of that!<pause:0.75> You sound like a landlubber!","Yarr ! <pause:0.75> Je n'y comprends rien ! <pause:0.75> Tu as l'air d'un terrien !","Arrr! <pause:0.75> Ich konnte da überhaupt nichts verstehen!<pause:0.75> Du klingst wie ein Landei!","Arrr! <pause:0.75> Não consegui entender nada disso!<pause:0.75> Você parece um marinheiro de água doce!","Йарр! <pause:0.75> Я ни одного слова не понял!<pause:0.75> Ты говоришь, как сухопутная крыса!","¡Yarr! <pause:0.75> ¡No le encontré ni pies ni cabeza a eso!<pause:0.75> ¡Suenas como un marinero de tierra!"
"l1e2 5",39858674060124163,"我不收银的时候不想那样说话。这太荒谬了。","I don't want to talk like that when I'm not at the register.<pause:0.75> It's<pause:0.5> ridiculous.","Je ne veux pas parler comme ça quand je ne suis pas à la caisse.<pause:0.75> C'est<pause:0.5> ridicule.","Ich möchte nicht so reden, wenn ich nicht an der Kasse stehe. Das ist lächerlich.","Não quero falar assim quando não estou no caixa. É ridículo.","Я не хочу говорить так, пока я не за кассой.<pause:0.75> Это<pause:0.5> глупо.","No quiero hablar así cuando no estoy en la caja.<pause:0.75> Es<pause:0.5> ridículo."
"l1e2 6",39858674060124164,"我们现实生活中可不是海盗。","We're not pirates in real life.","Nous ne sommes pas des pirates dans la vraie vie.","Wir sind im wirklichen Leben keine Piraten.","Nós não somos piratas na vida real.","Мы же не пираты в обычной жизни.","No somos piratas en la vida real."
"l1e2 7",39858674060124165,"<volume:0>...","<volume:0>...","<volume:0>...","<volume:0>...","<volume:0>...","<volume:0>...","__MARCADOR_0__..."
"l1e2 8",39858674060124166,"__占位符_0__.__占位符_1__.__占位符_2__.__占位符_3____占位符_4__ *叹气*","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> *sigh*","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> *soupir*","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> *seufz*","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> *suspiro*","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> *вздох*","__MARCADOR_0__.__MARCADOR_1__.__MARCADOR_2__.__MARCADOR_3____MARCADOR_4__ *suspiro*"
"l1e2 9",39858674060124167,"Yarr！<pause:0.75> 船长，<pause:0.75> 我这次航行已经一年多了！","Yarr!<pause:0.75> Captain,<pause:0.75> I've been on this voyage for over a year!","Yarr!<pause:0.75> Capitaine,<pause:0.75> Je suis sur ce voyage depuis plus d'un an !","Ahoi! Kapitän, ich bin seit über einem Jahr auf dieser Reise!","Arrr!<pause:0.75> Capitão,<pause:0.75> Estou nesta viagem há mais de um ano!","Йарр!<pause:0.75> Капитан,<pause:0.75> я в этом плаванье уже больше года!","¡Sí!<pause:0.75> Capitán,<pause:0.75> ¡He estado en este viaje por más de un año!"
"l1e2 10",39858674060124168,"<volume:1>呀！<pause:0.75>这才像话！<pause:0.75>继续保持，宝藏很快就会到来！","<volume:1>Yarr!<pause:0.75> That's more like it!<pause:0.75> Keep that up and the treasure won't be long in coming!","<volume:1>Yarr!<pause:0.75> Voilà qui est mieux!<pause:0.75> Continuez comme ça et le trésor ne tardera pas à arriver!","<volume:1>Yarr!<pause:0.75> So ist es schon besser!<pause:0.75> Mach weiter so, und der Schatz lässt nicht lange auf sich warten!","<volume:1>Yarr!<pause:0.75> Isso sim!<pause:0.75> Continue assim e o tesouro não demorará a chegar!","<volume:1>Йарр!<pause:0.75> Вот так бы сразу!<pause:0.75> Продолжай в том же духе и сокровище не заставит себя долго ждать!","<volume:1>¡Yarr!<pause:0.75> ¡Eso está mejor!<pause:0.75> ¡Sigue así y el tesoro no tardará en llegar!"
"l1e2 11",39858674060124169,"说到宝藏，我其实想谈谈我的晋升以及……","Speaking of treasure.<pause:0.75> I actually wanted to discuss my promotion and ...","En parlant de trésor… Je voulais en fait aborder ma promotion et…","Wo wir gerade von Schätzen sprechen… Ich wollte eigentlich über meine Beförderung sprechen und…","Falando em tesouro...<pause:0.75> Na verdade, eu queria discutir minha promoção e...","К слову, о сокровищах.<pause:0.75> Я как раз хотел обсудить мое повышение и ...","Hablando de tesoros.<pause:0.75> En realidad quería hablar sobre mi ascenso y..."
"l1e2 12",39858674060124170,"水手，振作起来！","And cheer up, sailor!","Courage, marin !","Kopf hoch, Matrose!","Anime-se, marinheiro!","И выше нос, юнга!","¡Y ánimo, marinero!"
"l1e2 13",39858674060124171,"我不知道你在岸上发生了什么事。","I don't know what happened to you on shore.","Je ne sais pas ce qui vous est arrivé sur le rivage.","Ich weiß nicht, was dir an Land zugestoßen ist.","Não sei o que aconteceu com você em terra firme.","Не знаю что там у тебя случилось такого на суше.","No sé qué te pasó en la orilla."
"l1e2 14",39858674060124172,"但如果你一直摆出一副臭脸的样子，你会把我的顾客都吓跑的！<pause:0.75> 呀！","But if you keep walking around looking that grumpy, you'll scare off all my customers!<pause:0.75> Yarr!","Mais si tu continues à te balader avec cette mine renfrognée, tu vas faire fuir tous mes clients !<pause:0.75> Yarr !","Aber wenn du weiterhin so mürrisch herumläufst, vergraulst du mir noch alle meine Kunden!","Mas se você continuar andando por aí com essa cara de mau humor, vai espantar todos os meus clientes!<pause:0.75> Arrr!","Но, если будешь дальше ходить таким угрюмым, распугаешь мне всех клиентов!<pause:0.75> Йарр!","¡Pero si sigues caminando con ese aspecto de mal humor, asustarás a todos mis clientes!<pause:0.75> ¡Hurra!"
"l1e2 15",39858674060124173,"只是……","It's just...","C'est juste...","Es ist einfach...","É que...","Это просто...","Es solo que..."
"l1e2 16",39858674060124174,"……我的脸。","...my face.","...mon visage.","...mein Gesicht.","...meu rosto.","...Мое лицо.","...mi cara."
"l1e2 17",39858674060124175,"<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> 聋杂种狗。","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Deaf mutt.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Chien sourd bâtard.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Tauber Mischling.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Cão vira-lata surdo.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Дворняга глухая.","__MARCADOR_0__.__MARCADOR_1__.__MARCADOR_2__.__MARCADOR_3____MARCADOR_4__ Sordomudo."
"l1e2 18",39858674060124176,"已经？！","Already?!","Déjà?!","Bereits?!","Já?!","Уже?!","¡¿Ya?!"
"l1e2 19",39858674060124177,"我发誓，休息时间一天比一天短！","I swear, the breaks get shorter every day!","Je vous jure, les pauses sont de plus en plus courtes chaque jour !","Ich schwöre, die Pausen werden jeden Tag kürzer!","Juro, os intervalos estão ficando cada vez mais curtos!","Я готов поклясться, что с каждым днем перерыв становится короче!","¡Lo juro, los descansos son cada día más cortos!"
"l1e3 1 ",39858674060124178,"我会让他看看。我会让他们所有人看看。","I'll show him.<pause:1> I'll show all of them.","Je vais lui montrer.<pause:1> Je vais leur montrer à tous.","Ich werde es ihm zeigen.<pause:1> Ich werde es ihnen allen zeigen.","Vou mostrar a ele.<pause:1> Vou mostrar a todos eles.","Я еще ему покажу.<pause:1> Всем им покажу.","Se lo mostraré.<pause:1> Se los mostraré a todos."
"l1e3 2",39858674060124179,"我要开一家自己的餐馆，<pause:0.5> 把他们全部招进来，<pause:0.5> 然后给他们尽可能短的休息时间。","I'll open my own restaurant,<pause:0.5> hire every last one of them,<pause:0.5> and then give them the shortest breaks imaginable.","J'ouvrirai mon propre restaurant,<pause:0.5> j'embaucherai jusqu'au dernier d'entre eux,<pause:0.5> et je leur donnerai ensuite les pauses les plus courtes imaginables.","Ich werde mein eigenes Restaurant eröffnen, sie alle einstellen und ihnen dann die kürzestmöglichen Pausen geben.","Vou abrir meu próprio restaurante, contratar todos eles, e depois dar a eles os intervalos mais curtos imagináveis.","Открою ресторан,<pause:0.5> возьму всех на работу,<pause:0.5> а потом сделаю им короткие перерывы.","Abriré mi propio restaurante, contrataré a todos y cada uno de ellos, y luego les daré los descansos más cortos imaginables."
"l1e3 3",39858674060124180,"我要给自己放个超长的假！","And I'll give myself an outrageously long break!","Et je vais m'accorder une pause excessivement longue !","Und ich werde mir eine unglaublich lange Auszeit gönnen!","E vou me dar um descanso absurdamente longo!","А себе сделаю возмутительно длинный перерыв!","¡Y me daré un descanso escandalosamente largo!"
"l1e3 4",39858674060124181,"但我可能都不舍得用它了，我的房子就是这么棒！","But I won't even want to use it, that's how amazing my place will be!","Mais je n'aurai même pas envie de l'utiliser, tellement mon appartement sera incroyable !","Aber ich werde es gar nicht benutzen wollen, so fantastisch wird meine Wohnung sein!","Mas eu nem vou querer usar, de tão incrível que será meu apartamento!","Но я не захочу им пользоваться, таким классным будет мое заведение!","¡Pero ni siquiera querré usarlo, así de increíble será mi lugar!"
"l1e3 5",39858674060124182,"<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> 仔细想想，或许我应该让它显得不那么惊艳。","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> On second thought, maybe I should make it slightly less amazing.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Après réflexion, je devrais peut-être le rendre un peu moins extraordinaire.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Bei näherer Betrachtung sollte ich es vielleicht etwas weniger beeindruckend gestalten.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Pensando bem, talvez eu devesse torná-lo um pouco menos incrível.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Наверное стоит сделать мой ресторан чуть менее классным.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Pensándolo bien, tal vez debería hacerlo un poco menos asombroso."
"l1e3 6",39858674060124183,"否则他们根本不想休息。","Otherwise they won't want to take their breaks at all.","Sinon, ils ne voudront plus du tout faire de pauses.","Sonst wollen sie ihre Pausen gar nicht mehr machen.","Caso contrário, eles não vão querer fazer pausas de jeito nenhum.","А то они сами не захотят пользоваться перерывами.","De lo contrario, no querrán tomar descansos en absoluto."
"l1e3 7",39858674060124184,"哦，<pause:0.75>，又是她。","Oh,<pause:0.75> it's her again.","Oh,<pause:0.75> c'est encore elle.","Oh, <pause:0.75>, sie ist es wieder.","Ah,<pause:0.75> é ela de novo.","Ого,<pause:0.75> снова она.","Oh,<pause:0.75> es ella otra vez."
